feature,importance
hsa-mir-3168,2.9240289799
hsa-mir-548h-4,2.889572114
hsa-mir-3156-3,2.875020286
hsa-mir-4271,2.8167372835
hsa-mir-640,2.7884772471
hsa-mir-875,2.776092448
hsa-mir-620,2.7677802349
hsa-mir-3714,2.6947337906
hsa-mir-596,2.66568776
hsa-mir-612,2.6406883551
hsa-mir-567,2.5934106727
hsa-mir-3156-2,2.5909665071
hsa-mir-4328,2.5909242575
hsa-mir-1273c,2.5556052272
hsa-mir-921,2.5167223631
hsa-mir-711,2.4976368401
hsa-mir-1825,2.4902683142
hsa-mir-558,2.4588365508
hsa-mir-1280,2.4554476728
hsa-mir-3160-2,2.4532200024
hsa-mir-604,2.4525152824
hsa-mir-4294,2.4474602936
hsa-mir-3665,2.4377377204
hsa-mir-4315-2,2.3210674768
hsa-mir-4279,2.3065317943
hsa-mir-599,2.2590747184
hsa-mir-638,2.2561759764
hsa-mir-4304,2.2408892864
hsa-mir-4270,2.2214048085
hsa-mir-548aa-2,2.1968469497
hsa-mir-4259,2.1757021215
hsa-mir-606,2.153325344
hsa-mir-1827,2.1485662957
